"Population estimates, July 1, by census metropolitan area and census agglomeration, 2021 boundaries 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0148-01"
"Release date: 2026-01-14"
"Geography: Canada, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"
""
""

"Gender","Total - gender",,,,,,,,,
"Age group 8","All ages",,,,,,,,,
"Geography","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
,"Persons",,,,,,,,,
"Canada","36,110,803","36,545,075","37,072,620","37,618,495","38,028,638","38,239,864","38,950,132","40,049,088","41,262,329","41,651,653"
"All census metropolitan areas and census agglomerations, Canada","30,172,286","30,578,473","31,068,031","31,574,160","31,942,223","32,089,899","32,734,767","33,776,803","34,926,482","35,272,005"
"All census metropolitan areas, Canada","26,465,386","26,842,398","27,297,406","27,768,376","28,108,222","28,222,191","28,815,714","29,789,257","30,859,870","31,169,100"
"St. John's (CMA), Newfoundland and Labrador","213,775","215,534","216,404","217,821","219,282","220,052","224,707","232,536","240,428","243,478"
"Halifax (CMA), Nova Scotia","438,022","445,326","453,010","462,737","473,565","482,144","498,222","515,453","536,372","544,834"
"Moncton (CMA), New Brunswick","148,470","150,156","152,020","155,078","158,135","161,376","168,356","178,208","190,477","196,143"
"Saint John (CMA), New Brunswick","129,019","129,658","130,432","131,349","132,226","133,140","135,443","138,854","142,905","144,543"
"Fredericton (CMA), New Brunswick","105,291","106,393","107,592","109,092","110,168","111,017","114,480","118,659","123,308","125,303"
"Saguenay (CMA), Quebec","162,048","161,824","161,787","161,894","162,285","162,376","164,244","166,557","169,247","170,192"
"Québec (CMA), Quebec","811,724","817,163","824,428","832,966","840,396","844,774","857,697","875,108","894,691","903,607"
"Sherbrooke (CMA), Quebec","213,468","215,730","218,818","222,318","225,902","229,294","233,354","237,466","242,136","243,911"
"Trois-Rivières (CMA), Quebec","156,729","157,615","158,164","159,395","161,361","162,531","165,780","168,438","172,585","174,316"
"Drummondville (CMA), Quebec","97,549","98,582","99,326","100,012","100,909","102,356","103,827","105,919","107,895","109,151"
"Montréal (CMA), Quebec","4,146,025","4,193,413","4,261,700","4,327,976","4,356,853","4,330,143","4,372,296","4,465,221","4,572,813","4,597,837"
"Ottawa - Gatineau (CMA), Ontario/Quebec","1,407,766","1,437,124","1,466,353","1,496,791","1,524,974","1,540,340","1,568,982","1,610,010","1,661,966","1,700,014"
"Ottawa - Gatineau (CMA), Ontario part, Ontario","1,072,882","1,098,582","1,123,368","1,148,411","1,172,078","1,184,369","1,209,897","1,246,173","1,291,272","1,325,788"
