year,starts_total,cma_key
2016,1136,abbotsford mission
2017,1710,abbotsford mission
2018,1045,abbotsford mission
2019,1694,abbotsford mission
2020,1110,abbotsford mission
2016,1723,barrie
2017,1378,barrie
2018,1396,barrie
2019,784,barrie
2020,1165,barrie
2016,331,brantford
2017,415,brantford
2018,752,brantford
2019,586,brantford
2020,1188,brantford
2016,9245,calgary
2017,11534,calgary
2018,10971,calgary
2019,11909,calgary
2020,9235,calgary
2016,10036,edmonton
2017,11435,edmonton
2018,10038,edmonton
2019,10720,edmonton
2020,11512,edmonton
2016,289,greater sudbury
2017,195,greater sudbury
2018,189,greater sudbury
2019,202,greater sudbury
2020,218,greater sudbury
2016,1061,guelph
2017,1023,guelph
2018,1122,guelph
2019,907,guelph
2020,584,guelph
2016,2305,halifax
2017,2752,halifax
2018,2871,halifax
2019,3143,halifax
2020,3249,halifax
2016,3269,hamilton
2017,2893,hamilton
2018,3616,hamilton
2019,3204,hamilton
2020,3431,hamilton
2016,2196,kelowna
2017,3577,kelowna
2018,2555,kelowna
2019,2225,kelowna
2020,1794,kelowna
2016,412,kingston
2017,692,kingston
2018,910,kingston
2019,1256,kingston
2020,1041,kingston
2016,4074,kitchener cambridge waterloo
2017,3850,kitchener cambridge waterloo
2018,3103,kitchener cambridge waterloo
2019,5477,kitchener cambridge waterloo
2020,3749,kitchener cambridge waterloo
2016,3116,london
2017,3967,london
2018,2679,london
2019,3415,london
2020,4262,london
2016,623,moncton
2017,908,moncton
2018,703,moncton
2019,1242,moncton
2020,1708,moncton
2016,17834,montreal
2017,24756,montreal
2018,25000,montreal
2019,25112,montreal
2020,27274,montreal
2016,7117,ottawa gatineau
2017,9327,ottawa gatineau
2018,9468,ottawa gatineau
2019,11203,ottawa gatineau
2020,13034,ottawa gatineau
2016,495,peterborough
2017,395,peterborough
2018,443,peterborough
2019,499,peterborough
2020,528,peterborough
2016,4766,quebec
2017,6640,quebec
2018,5355,quebec
2019,6203,quebec
2020,6713,quebec
2016,1563,regina
2017,1923,regina
2018,1139,regina
2019,537,regina
2020,766,regina
2016,151,saint john
2017,268,saint john
2018,271,saint john
2019,381,saint john
2020,540,saint john
2016,1909,saskatoon
2017,1915,saskatoon
2018,1626,saskatoon
2019,1323,saskatoon
2020,1909,saskatoon
2016,1197,sherbrooke
2017,1124,sherbrooke
2018,1263,sherbrooke
2019,1880,sherbrooke
2020,2264,sherbrooke
2016,1957,st catharines niagara
2017,2196,st catharines niagara
2018,1863,st catharines niagara
2019,2785,st catharines niagara
2020,2466,st catharines niagara
2016,833,st john s
2017,763,st john s
2018,632,st john s
2019,480,st john s
2020,418,st john s
2016,39027,toronto
2017,38738,toronto
2018,41107,toronto
2019,30462,toronto
2020,38587,toronto
2016,670,trois rivieres
2017,692,trois rivieres
2018,791,trois rivieres
2019,640,trois rivieres
2020,662,trois rivieres
2016,27914,vancouver
2017,26204,vancouver
2018,23404,vancouver
2019,28141,vancouver
2020,22371,vancouver
2016,2933,victoria
2017,3862,victoria
2018,4273,victoria
2019,3499,victoria
2020,3209,victoria
2016,1266,windsor
2017,1187,windsor
2018,952,windsor
2019,1345,windsor
2020,1555,windsor
2016,4054,winnipeg
2017,5621,winnipeg
2018,5384,winnipeg
2019,4965,winnipeg
2020,5040,winnipeg
