starts_total,year,cma_key
1078,2021,abbotsford mission
2225,2021,barrie
1307,2021,brantford
15017,2021,calgary
12546,2021,edmonton
434,2021,greater sudbury
766,2021,guelph
3794,2021,halifax
4187,2021,hamilton
3266,2021,kelowna
1371,2021,kingston
5602,2021,kitchener cambridge waterloo
5592,2021,london
1746,2021,moncton
32343,2021,montreal
13280,2021,ottawa gatineau
624,2021,peterborough
9389,2021,quebec
983,2021,regina
549,2021,saint john
2640,2021,saskatoon
2601,2021,sherbrooke
2635,2021,st catharines niagara
544,2021,st john s
41898,2021,toronto
1081,2021,trois rivieres
26013,2021,vancouver
4809,2021,victoria
1458,2021,windsor
5694,2021,winnipeg
