cma_key,year,population,ln_pop
abbotsford mission,2016,189205,12.15058636231204
abbotsford mission,2017,193234,12.17165716871414
abbotsford mission,2018,197517,12.19357993556836
abbotsford mission,2019,201792,12.21499274290473
abbotsford mission,2020,203004,12.22098096226329
abbotsford mission,2021,204670,12.2291542049735
abbotsford mission,2022,207467,12.24272756986072
abbotsford mission,2023,213548,12.27161691073758
barrie,2016,203572,12.22377502964318
barrie,2017,206896,12.23997153053563
barrie,2018,210089,12.25528652944153
barrie,2019,214431,12.27574328727896
barrie,2020,218493,12.29450925639133
barrie,2021,222065,12.31072541079176
barrie,2022,230302,12.34714677009586
barrie,2023,238309,12.38132342989359
belleville quinte west,2016,106272,11.57375712417647
belleville quinte west,2017,108194,11.59168119099189
belleville quinte west,2018,110180,11.60987067102671
belleville quinte west,2019,112064,11.62682541564552
belleville quinte west,2020,114220,11.64588169221885
belleville quinte west,2021,115493,11.65696520104676
belleville quinte west,2022,118545,11.68304791430718
belleville quinte west,2023,121069,11.70411590998319
brantford,2016,143867,11.87664454065547
brantford,2017,146115,11.89214926187317
brantford,2018,148290,11.90692509496911
brantford,2019,150939,11.92463106066785
brantford,2020,153544,11.94174244988571
brantford,2021,156714,11.96217776704634
brantford,2022,161449,11.99194458229917
brantford,2023,167206,12.02698186415635
calgary,2016,1437710,14.1785621279405
calgary,2017,1453860,14.18973264633251
calgary,2018,1475716,14.20465385370489
calgary,2019,1503295,14.2231699235943
calgary,2020,1528262,14.23964169997858
calgary,2021,1540242,14.24745010490131
calgary,2022,1587723,14.2778114723246
calgary,2023,1680332,14.33450195090299
chilliwack,2016,105946,11.57068480932637
chilliwack,2017,108739,11.5967057944097
chilliwack,2018,112035,11.62656660145928
chilliwack,2019,114073,11.64459387331669
chilliwack,2020,116401,11.66479640530786
chilliwack,2021,118634,11.68379840237044
chilliwack,2022,121511,11.70776007264412
chilliwack,2023,123690,11.72553371436906
drummondville,2016,97549,11.48811009484546
drummondville,2017,98582,11.49864396814446
drummondville,2018,99326,11.50616264859084
drummondville,2019,100012,11.5130454577708
drummondville,2020,100909,11.52197439958884
drummondville,2021,102356,11.53621221174542
drummondville,2022,103827,11.55048133149666
drummondville,2023,105919,11.57042993003865
edmonton,2016,1364673,14.12642539746245
edmonton,2017,1388606,14.14381092419072
edmonton,2018,1412415,14.16081156320088
edmonton,2019,1438636,14.1792060004315
edmonton,2020,1461697,14.19510864747054
edmonton,2021,1472402,14.20240563881262
edmonton,2022,1500864,14.22155150024811
edmonton,2023,1560830,14.26072828901867
fredericton,2016,105291,11.56448322438382
fredericton,2017,106393,11.57489506425178
fredericton,2018,107592,11.58610157450338
fredericton,2019,109092,11.59994684190986
fredericton,2020,110168,11.60976175240696
fredericton,2021,111017,11.61743862172088
fredericton,2022,114480,11.64815541423033
fredericton,2023,118659,11.68400911233738
greater sudbury,2016,170660,12.04742855209058
greater sudbury,2017,171705,12.05353316702069
greater sudbury,2018,174100,12.06738512575628
greater sudbury,2019,175351,12.07454495843202
greater sudbury,2020,176580,12.08152931045557
greater sudbury,2021,177415,12.08624689996176
greater sudbury,2022,180295,12.10234967724837
greater sudbury,2023,185364,12.13007673850225
guelph,2016,157183,11.96516601063578
guelph,2017,160702,11.98730699719887
guelph,2018,163979,12.0074936498269
guelph,2019,167234,12.02714930824237
guelph,2020,170486,12.04640846089743
guelph,2021,172876,12.06032985347672
guelph,2022,176523,12.0812064584804
guelph,2023,179894,12.10012306752029
halifax,2016,438022,12.99002441640769
halifax,2017,445326,13.00656187720917
halifax,2018,453010,13.02366947927671
halifax,2019,462737,13.04491413711839
halifax,2020,473565,13.06804445779402
halifax,2021,482144,13.08599810360102
halifax,2022,498222,13.11880103980754
halifax,2023,515453,13.15280140466474
hamilton,2016,770432,13.55470667546739
hamilton,2017,779719,13.56668887734759
hamilton,2018,788294,13.57762639570355
hamilton,2019,799626,13.59189939733787
hamilton,2020,811706,13.6068934846155
hamilton,2021,817777,13.61434496228143
hamilton,2022,827480,13.62614021675699
hamilton,2023,843066,13.6448005257343
kamloops,2016,108507,11.59456996601061
kamloops,2017,111084,11.61804195085521
kamloops,2018,114862,11.65148668676887
kamloops,2019,116906,11.66912547206262
kamloops,2020,118389,11.68173109171066
kamloops,2021,119049,11.68729045204773
kamloops,2022,122129,11.71283314213522
kamloops,2023,125303,11.73849008313545
kelowna,2016,203697,12.22438887456594
kelowna,2017,208874,12.24948647833387
kelowna,2018,214927,12.27805371457106
kelowna,2019,220517,12.30373006840285
kelowna,2020,226205,12.32919694675231
kelowna,2021,232150,12.35513899344807
kelowna,2022,239880,12.38789407728245
kelowna,2023,246046,12.41327378930362
kingston,2016,166154,12.02067034812431
kingston,2017,169997,12.04353606881786
kingston,2018,173635,12.06471067379046
kingston,2019,176279,12.07982324614655
kingston,2020,178343,12.09146394134844
kingston,2021,179707,12.09908302582488
kingston,2022,184150,12.12350592187321
kingston,2023,188354,12.14607844995335
kitchener cambridge waterloo,2016,541852,13.20274818040274
