cma_key,year,unemp_rate
abbotsford mission,2016,6.6
abbotsford mission,2017,5.6
abbotsford mission,2018,4.5
abbotsford mission,2019,5.199999809265137
abbotsford mission,2020,7.800000190734863
abbotsford mission,2021,6.699999809265137
abbotsford mission,2022,4.8
abbotsford mission,2023,5.300000190734863
barrie,2016,7.3
barrie,2017,5.4
barrie,2018,7
barrie,2019,6.099999904632568
barrie,2020,9.100000381469727
barrie,2021,8.100000381469727
barrie,2022,5.5
barrie,2023,4.800000190734863
belleville quinte west,2016,9.300000000000001
belleville quinte west,2017,9.9
belleville quinte west,2018,4.099999904632568
belleville quinte west,2019,8.199999809265137
belleville quinte west,2020,10.30000019073486
belleville quinte west,2021,8.5
belleville quinte west,2022,3.7
belleville quinte west,2023,6.5
brantford,2016,6.5
brantford,2017,5.1
brantford,2018,6.199999809265137
brantford,2019,4.300000190734863
brantford,2020,8.800000190734863
brantford,2021,7.099999904632568
brantford,2022,5.1
brantford,2023,4.599999904632568
calgary,2016,9.5
calgary,2017,8.800000000000001
calgary,2018,7.699999809265137
calgary,2019,7.099999904632568
calgary,2020,11.89999961853027
calgary,2021,9
calgary,2022,6.2
calgary,2023,6.099999904632568
chilliwack,2016,5.9
chilliwack,2017,
chilliwack,2018,3.900000095367432
chilliwack,2019,5.900000095367432
chilliwack,2020,7.300000190734863
chilliwack,2021,5.400000095367432
chilliwack,2022,4
chilliwack,2023,4.5
drummondville,2016,6.5
drummondville,2017,6.9
drummondville,2018,5.199999809265137
drummondville,2019,4.800000190734863
drummondville,2020,7.800000190734863
drummondville,2021,6
drummondville,2022,
drummondville,2023,3
edmonton,2016,7.5
edmonton,2017,8.300000000000001
edmonton,2018,6.400000095367432
edmonton,2019,7.300000190734863
edmonton,2020,11.89999961853027
edmonton,2021,8.800000190734863
edmonton,2022,5.9
edmonton,2023,6.099999904632568
fredericton,2016,7.3
fredericton,2017,6.3
fredericton,2018,6.699999809265137
fredericton,2019,5.800000190734863
fredericton,2020,8
fredericton,2021,6.300000190734863
fredericton,2022,5.6
fredericton,2023,4.599999904632568
greater sudbury,2016,8.300000000000001
greater sudbury,2017,6.7
greater sudbury,2018,6.400000095367432
greater sudbury,2019,5.599999904632568
greater sudbury,2020,8
greater sudbury,2021,7.5
greater sudbury,2022,4.1
greater sudbury,2023,4.900000095367432
guelph,2016,5
guelph,2017,5.5
guelph,2018,3.900000095367432
guelph,2019,4.5
guelph,2020,9.5
guelph,2021,7
guelph,2022,4.2
guelph,2023,4.5
halifax,2016,6
halifax,2017,6.8
halifax,2018,6.099999904632568
halifax,2019,5.800000190734863
halifax,2020,8.800000190734863
halifax,2021,7.5
