"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961","Census metropolitan areas","","Housing starts","Total units","Units","300","units","0","v42127715","1.1.1","71069","","","","0"
"1961","Census metropolitan areas","","Housing starts","Single-detached units","Units","300","units","0","v42127716","1.1.2","30397","","","","0"
"1961","Census metropolitan areas","","Housing starts","Semi-detached units","Units","300","units","0","v42127717","1.1.3","8389","","","","0"
"1961","Census metropolitan areas","","Housing starts","Row units","Units","300","units","0","v42127718","1.1.4","1154","","","","0"
"1961","Census metropolitan areas","","Housing starts","Apartment and other unit types","Units","300","units","0","v42127719","1.1.5","31129","","","","0"
"1961","Calgary, Alberta","2011S0503825","Housing starts","Total units","Units","300","units","0","v42127880","2.1.1","4414","","","","0"
"1961","Calgary, Alberta","2011S0503825","Housing starts","Single-detached units","Units","300","units","0","v42127881","2.1.2","3004","","","","0"
"1961","Calgary, Alberta","2011S0503825","Housing starts","Semi-detached units","Units","300","units","0","v42127882","2.1.3","263","","","","0"
"1961","Calgary, Alberta","2011S0503825","Housing starts","Row units","Units","300","units","0","v42127883","2.1.4","22","","","","0"
"1961","Calgary, Alberta","2011S0503825","Housing starts","Apartment and other unit types","Units","300","units","0","v42127884","2.1.5","1125","","","","0"
"1961","Edmonton, Alberta","2011S0503835","Housing starts","Total units","Units","300","units","0","v42128090","4.1.1","4562","","","","0"
"1961","Edmonton, Alberta","2011S0503835","Housing starts","Single-detached units","Units","300","units","0","v42128091","4.1.2","2840","","","","0"
"1961","Edmonton, Alberta","2011S0503835","Housing starts","Semi-detached units","Units","300","units","0","v42128092","4.1.3","179","","","","0"
"1961","Edmonton, Alberta","2011S0503835","Housing starts","Row units","Units","300","units","0","v42128093","4.1.4","286","","","","0"
"1961","Edmonton, Alberta","2011S0503835","Housing starts","Apartment and other unit types","Units","300","units","0","v42128094","4.1.5","1257","","","","0"
"1961","Greater Sudbury, Ontario","2011S0503580","Housing starts","Single-detached units","Units","300","units","0","v42127926","22.1.2","0","","","","0"
"1961","Greater Sudbury, Ontario","2011S0503580","Housing starts","Row units","Units","300","units","0","v42127928","22.1.4","0","","","","0"
"1961","Halifax, Nova Scotia","2011S0503205","Housing starts","Total units","Units","300","units","0","v42128105","5.1.1","1365","","","","0"
"1961","Halifax, Nova Scotia","2011S0503205","Housing starts","Single-detached units","Units","300","units","0","v42128106","5.1.2","891","","","","0"
"1961","Halifax, Nova Scotia","2011S0503205","Housing starts","Semi-detached units","Units","300","units","0","v42128107","5.1.3","58","","","","0"
"1961","Halifax, Nova Scotia","2011S0503205","Housing starts","Row units","Units","300","units","0","v42128108","5.1.4","51","","","","0"
"1961","Halifax, Nova Scotia","2011S0503205","Housing starts","Apartment and other unit types","Units","300","units","0","v42128109","5.1.5","365","","","","0"
"1961","Hamilton, Ontario","2011S0503537","Housing starts","Total units","Units","300","units","0","v42128120","6.1.1","2267","","","","0"
"1961","Hamilton, Ontario","2011S0503537","Housing starts","Single-detached units","Units","300","units","0","v42128121","6.1.2","1352","","","","0"
"1961","Hamilton, Ontario","2011S0503537","Housing starts","Semi-detached units","Units","300","units","0","v42128122","6.1.3","58","","","","0"
"1961","Hamilton, Ontario","2011S0503537","Housing starts","Row units","Units","300","units","0","v42128123","6.1.4","10","","","","0"
"1961","Hamilton, Ontario","2011S0503537","Housing starts","Apartment and other unit types","Units","300","units","0","v42128124","6.1.5","847","","","","0"
"1961","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Housing starts","Single-detached units","Units","300","units","0","v42128136","7.1.2","0","","","","0"
"1961","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Housing starts","Semi-detached units","Units","300","units","0","v42128137","7.1.3","0","","","","0"
"1961","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Housing starts","Row units","Units","300","units","0","v42128138","7.1.4","0","","","","0"
